Clabel:   0; set:  1; Glabel:   1; round-off, flic-flac with 0.5 turn on, stretched salto forward with 0.5 turn off
Clabel:   1; set:  1; Glabel:  19; round-off, flic-flac on, stretched salto backward with 2 turn off
Clabel:   2; set:  1; Glabel:  20; round-off, flic-flac on, stretched salto backward with 1 turn off
Clabel:   3; set:  1; Glabel:  21; round-off, flic-flac on, stretched salto backward with 1.5 turn off
Clabel:   4; set:  1; Glabel:  23; round-off, flic-flac on, stretched salto backward with 2.5 turn off
Clabel:   5; set:  1; Glabel:  24; round-off, flic-flac on, stretched salto backward off
Clabel:   6; set: 21; Glabel:  67; switch leap with 0.5 turn
Clabel:   7; set: 21; Glabel:  68; switch leap with 1 turn
Clabel:   8; set: 21; Glabel:  72; split leap with 1 turn
Clabel:   9; set: 21; Glabel:  73; split leap with 1.5 turn or more
Clabel:  10; set: 21; Glabel:  74; switch leap (leap forward with leg change to cross split)
Clabel:  11; set: 21; Glabel:  77; split jump with 1 turn
Clabel:  12; set: 21; Glabel:  81; split jump (leg separation 180 degree parallel to the floor)
Clabel:  13; set: 21; Glabel:  83; johnson with additional 0.5 turn
Clabel:  14; set: 21; Glabel:  88; straddle pike or side split jump with 1 turn
Clabel:  15; set: 21; Glabel:  96; switch leap to ring position
Clabel:  16; set: 21; Glabel: 104; stag jump      
Clabel:  17; set: 22; Glabel: 134; 2 turn with free leg held upward in 180 split position throughout turn
Clabel:  18; set: 22; Glabel: 137; 2 turn in tuck stand on one leg, free leg straight throughout turn
Clabel:  19; set: 22; Glabel: 146; 3 turn on one leg, free leg optional below horizontal
Clabel:  20; set: 22; Glabel: 147; 2 turn on one leg, free leg optional below horizontal
Clabel:  21; set: 22; Glabel: 148; 1 turn on one leg, free leg optional below horizontal
Clabel:  22; set: 22; Glabel: 149; 2 turn or more with heel of free leg forward at horizontal throughout turn
Clabel:  23; set: 22; Glabel: 150; 1 turn with heel of free leg forward at horizontal throughout turn
Clabel:  24; set: 24; Glabel: 156; arabian double salto tucked
Clabel:  25; set: 24; Glabel: 163; salto forward tucked
Clabel:  26; set: 24; Glabel: 169; aerial walkover forward
Clabel:  27; set: 24; Glabel: 171; salto forward stretched with 2 twist
Clabel:  28; set: 24; Glabel: 172; salto forward stretched with 1 twist
Clabel:  29; set: 24; Glabel: 174; salto forward stretched with 1.5 twist
Clabel:  30; set: 24; Glabel: 177; salto forward stretched, feet land together
Clabel:  31; set: 25; Glabel: 181; double salto backward stretched
Clabel:  32; set: 25; Glabel: 182; salto backward stretched with 3 twist
Clabel:  33; set: 25; Glabel: 183; salto backward stretched with 2 twist
Clabel:  34; set: 25; Glabel: 187; salto backward stretched with 2.5 twist
